22:16:02.953 | INFO  |                             HorseDaoTest: Starting HorseDaoTest on Ajayvirs-MacBook-Pro.local with PID 75694 (started by ajayvirsingh in /Users/ajayvirsingh/Desktop/4Semester/SEPM PR/Einzelphase/Project/sepm-individual-assignment)
22:16:02.955 | DEBUG |                             HorseDaoTest: Running with Spring Boot v2.1.2.RELEASE, Spring v5.1.4.RELEASE
22:16:02.955 | INFO  |                             HorseDaoTest: The following profiles are active: test
22:16:03.755 | DEBUG |                            HorseEndpoint: Defined Endpoint
22:16:03.766 | DEBUG |                           JockeyEndpoint: Defined Endpoint
22:16:03.777 | INFO  |                       SimulationEndpoint: Defined Endpoint
22:16:04.785 | INFO  |                             HorseDaoTest: Started HorseDaoTest in 7.326 seconds (JVM running for 8.754)
22:16:05.290 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.291 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.524 | INFO  |                                 HorseDao: Delete horse with id 1
22:16:05.525 | INFO  |                                 HorseDao: Get horse with id 1
22:16:05.525 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.543 | ERROR |                                 HorseDao: Could not find horse with id 1
22:16:05.544 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.550 | INFO  |                                 HorseDao: Get horse with id 1
22:16:05.551 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.551 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.560 | ERROR |                                 HorseDao: Could not find horse with id 1
22:16:05.560 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.567 | INFO  |                                 HorseDao: Insert horse
22:16:05.574 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.574 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.587 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.588 | INFO  |                                 HorseDao: Update horse with id 1
22:16:05.588 | INFO  |                                 HorseDao: Get horse with id 1
22:16:05.588 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.589 | ERROR |                                 HorseDao: Maximum speed is smaller than minimum speed
22:16:05.590 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.592 | INFO  |                                 HorseDao: Insert horse
22:16:05.592 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.593 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.601 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.614 | INFO  |                               Simulation: Get simulation with id 1
22:16:05.615 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.615 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.627 | ERROR |                               Simulation: Could not find simulation with id 1
22:16:05.628 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.631 | INFO  |                               Simulation: Insert Simulation
22:16:05.631 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.631 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.644 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.647 | INFO  |                               Simulation: Insert Simulation
22:16:05.648 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.648 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.656 | INFO  |                      DBConnectionManager: Close database connection
22:16:05.666 | INFO  |                                JockeyDao: Insert Jockey
22:16:05.666 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.666 | INFO  |                      DBConnectionManager: Establish database connection
22:16:05.673 | INFO  |                                JockeyDao: Delete jockey with id 1
22:16:05.674 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:05.674 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.675 | INFO  |                                JockeyDao: Check if jockey with id 1 exists: insert into jockeyhistory if no, else do nothing
22:16:05.675 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.677 | INFO  |                                JockeyDao: Insert into jockeyHistory with 1
22:16:05.678 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.681 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.683 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:05.683 | INFO  |                      DBConnectionManager: Get database connection
22:16:05.684 | ERROR |                                JockeyDao: Could not find jockey with id 1
